Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.88     0.00        2     0.00     0.00  scheduler_new_rq_
  0.00      1.88     0.00        1     0.00     0.00  UI_exit
  0.00      1.88     0.00        1     0.00     0.06  UI_init
  0.00      1.88     0.00        1     0.00     0.00  cb_exit
  0.00      1.88     0.00        1     0.00     0.00  checkifNULL
  0.00      1.88     0.00        1     0.00     0.00  chunk_free_all
  0.00      1.88     0.00        1     0.00     0.00  chunk_init_arena
  0.00      1.88     0.00        1     0.00     0.00  entity_set_keyboard_controller
  0.00      1.88     0.00        1     0.00     0.01  exit_state
  0.00      1.88     0.00        1     0.00     0.01  game_free
  0.00      1.88     0.00        1     0.00     0.05  game_init
  0.00      1.88     0.00        1     0.00     0.00  ht_init
  0.00      1.88     0.00        1     0.00     0.06  init
  0.00      1.88     0.00        1     0.00     0.01  init_colors
  0.00      1.88     0.00        1     0.00     0.00  init_entity_types
  0.00      1.88     0.00        1     0.00     0.00  init_skins
  0.00      1.88     0.00        1     0.00     0.00  keyboard_init
  0.00      1.88     0.00        1     0.00     0.00  kill_all_tasks
  0.00      1.88     0.00        1     0.00     0.00  rqll_kill_all_tasks
  0.00      1.88     0.00        1     0.00     1.46  schedule_run
  0.00      1.88     0.00        1     0.00     0.00  scheduler_free
  0.00      1.88     0.00        1     0.00     0.00  scheduler_init
  0.00      1.88     0.00        1     0.00     0.00  st_full
  0.00      1.88     0.00        1     0.00     0.00  st_push
  0.00      1.88     0.00        1     0.00     0.00  timer_init
  0.00      1.88     0.00        1     0.00     0.00  window_mgr_free
  0.00      1.88     0.00        1     0.00     0.00  window_mgr_init
  0.00      1.88     0.00        1     0.00     0.01  world_free

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2025 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.53% of 1.88 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     81.6    0.00    1.54                 main [1]
                0.00    1.46       1/1           schedule_run [2]
                0.00    0.06       1/1           init [20]
                0.00    0.01       1/1           exit_state [30]
                0.00    0.00       3/4           st_init [101]
                0.00    0.00       2/3           schedule [106]
                0.00    0.00       2/5           schedule_cb [94]
-----------------------------------------------
                0.00    1.46       1/1           main [1]
[2]     77.8    0.00    1.46       1         schedule_run [2]
                0.01    1.45   35256/35256       rq_run [3]
                0.00    0.01    7052/7052        timer_synchronize [38]
-----------------------------------------------
                0.01    1.45   35256/35256       schedule_run [2]
[3]     77.5    0.01    1.45   35256         rq_run [3]
                0.00    1.44    7051/7051        jobUI [4]
                0.01    0.00    4596/4596        update_game_world [28]
                0.00    0.00    7051/7051        jobMain [63]
                0.00    0.00    7050/7050        jobIO [65]
                0.00    0.00    7050/7050        jobInput [66]
                0.00    0.00       4/4           rq_pop [100]
                0.00    0.00       1/1           cb_exit [115]
-----------------------------------------------
                0.00    1.44    7051/7051        rq_run [3]
[4]     76.4    0.00    1.44    7051         jobUI [4]
                0.00    1.44    7042/7042        UI_loop [5]
                0.00    0.00    7050/105438      timer_diff_milisec [45]
                0.00    0.00    7042/7042        UI_update_time [69]
-----------------------------------------------
                0.00    1.44    7042/7042        jobUI [4]
[5]     76.4    0.00    1.44    7042         UI_loop [5]
                0.01    1.43    7042/7042        draw_main_menu [6]
                0.00    0.00   14084/14084       st_peek [60]
-----------------------------------------------
                0.01    1.43    7042/7042        UI_loop [5]
[6]     76.4    0.01    1.43    7042         draw_main_menu [6]
                0.03    1.39    7042/7042        draw_gamewin [7]
                0.00    0.01    7042/7042        draw_uiwin [29]
                0.00    0.00   21126/97349027     qu_get [11]
-----------------------------------------------
                0.03    1.39    7042/7042        draw_main_menu [6]
[7]     75.3    0.03    1.39    7042         draw_gamewin [7]
                0.37    1.02 24337152/24357982     game_world_getxy [8]
-----------------------------------------------
                0.00    0.00    7042/24357982     draw_uiwin [29]
                0.00    0.00   13788/24357982     set_entity_facing [42]
                0.37    1.02 24337152/24357982     draw_gamewin [7]
[8]     73.8    0.37    1.02 24357982         game_world_getxy [8]
                0.16    0.60 24321879/24321879     world_getxy [9]
                0.26    0.00 97327898/97349027     qu_get [11]
-----------------------------------------------
                0.16    0.60 24321879/24321879     game_world_getxy [8]
[9]     40.3    0.16    0.60 24321879         world_getxy [9]
                0.12    0.19 24321879/24321906     chunk_lookup [10]
                0.22    0.00 48643758/48643758     topleft_coordinate [13]
                0.00    0.07       9/9           chunk_insert [18]
                0.00    0.00       9/9           chunk_nearest [87]
-----------------------------------------------
                0.00    0.00      27/24321906     chunk_insert [18]
                0.12    0.19 24321879/24321906     world_getxy [9]
[10]    16.2    0.12    0.19 24321906         chunk_lookup [10]
                0.01    0.12 24321906/24321906     ht_lookup [14]
                0.06    0.00 24321906/24321916     chunk_ht_hash [21]
-----------------------------------------------
                0.00    0.00       3/97349027     window_mgr_free [44]
                0.00    0.00   21126/97349027     draw_main_menu [6]
                0.26    0.00 97327898/97349027     game_world_getxy [8]
[11]    13.8    0.26    0.00 97349027         qu_get [11]
-----------------------------------------------
                                                 <spontaneous>
[12]    13.3    0.25    0.00                 _init [12]
-----------------------------------------------
                0.22    0.00 48643758/48643758     world_getxy [9]
[13]    11.7    0.22    0.00 48643758         topleft_coordinate [13]
-----------------------------------------------
                0.01    0.12 24321906/24321906     chunk_lookup [10]
[14]     6.9    0.01    0.12 24321906         ht_lookup [14]
                0.12    0.00 24321906/24321906     ht_entry [15]
-----------------------------------------------
                0.12    0.00 24321906/24321906     ht_lookup [14]
[15]     6.4    0.12    0.00 24321906         ht_entry [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     4.8    0.09    0.00                 qu_peek_tail [16]
-----------------------------------------------
                0.00    0.01       1/10          chunk_create [26]
                0.00    0.07       9/10          chunk_insert [18]
[17]     4.3    0.00    0.08      10         _chunk_create [17]
                0.00    0.06      10/10          chunk_get_free [22]
                0.02    0.00      10/10          ht_insert [27]
                0.00    0.00      10/24321916     chunk_ht_hash [21]
                0.00    0.00      10/10          chunk_determine_type [85]
                0.00    0.00      10/10          chunk_populate [86]
-----------------------------------------------
                0.00    0.07       9/9           world_getxy [9]
[18]     3.8    0.00    0.07       9         chunk_insert [18]
                0.00    0.07       9/10          _chunk_create [17]
                0.00    0.00      27/24321906     chunk_lookup [10]
-----------------------------------------------
                0.00    0.06       1/1           init [20]
[19]     3.4    0.00    0.06       1         UI_init [19]
                0.00    0.05       1/1           game_init [24]
                0.00    0.01       1/1           init_colors [34]
                0.00    0.00       4/4           window_insert_draw_func [102]
                0.00    0.00       3/3           window_mgr_add [107]
                0.00    0.00       2/2           box_win [108]
                0.00    0.00       1/4           st_init [101]
                0.00    0.00       1/1           st_push [129]
                0.00    0.00       1/1           window_mgr_init [131]
                0.00    0.00       1/2           noise_init [110]
-----------------------------------------------
                0.00    0.06       1/1           main [1]
[20]     3.4    0.00    0.06       1         init [20]
                0.00    0.06       1/1           UI_init [19]
                0.00    0.00       1/1           scheduler_init [127]
                0.00    0.00       1/1           timer_init [130]
                0.00    0.00       1/2           scheduler_new_rq [113]
                0.00    0.00       1/1           checkifNULL [116]
                0.00    0.00       1/1           keyboard_init [123]
-----------------------------------------------
                0.00    0.00      10/24321916     _chunk_create [17]
                0.06    0.00 24321906/24321916     chunk_lookup [10]
[21]     3.2    0.06    0.00 24321916         chunk_ht_hash [21]
-----------------------------------------------
                0.00    0.06      10/10          _chunk_create [17]
[22]     3.2    0.00    0.06      10         chunk_get_free [22]
                0.06    0.00       9/9           is_arena_full [23]
                0.00    0.00      10/10          chunk_arena_next [84]
                0.00    0.00       1/1           chunk_init_arena [118]
-----------------------------------------------
                0.06    0.00       9/9           chunk_get_free [22]
[23]     3.2    0.06    0.00       9         is_arena_full [23]
-----------------------------------------------
                0.00    0.05       1/1           UI_init [19]
[24]     2.8    0.00    0.05       1         game_init [24]
                0.03    0.02       1/1           world_init [25]
                0.00    0.00       4/4           entity_spawn [97]
                0.00    0.00       1/1           init_entity_types [121]
                0.00    0.00       1/1           init_skins [122]
                0.00    0.00       1/1           entity_set_keyboard_controller [119]
                0.00    0.00       1/2           scheduler_new_rq [113]
                0.00    0.00       1/3           schedule [106]
-----------------------------------------------
                0.03    0.02       1/1           game_init [24]
[25]     2.8    0.03    0.02       1         world_init [25]
                0.02    0.01       1/1           chunk_create [26]
                0.00    0.00       1/1           ht_init [120]
                0.00    0.00       1/9           qu_init [88]
                0.00    0.00       1/2           noise_init [110]
-----------------------------------------------
                0.02    0.01       1/1           world_init [25]
[26]     1.2    0.02    0.01       1         chunk_create [26]
                0.00    0.01       1/10          _chunk_create [17]
-----------------------------------------------
                0.02    0.00      10/10          _chunk_create [17]
[27]     1.1    0.02    0.00      10         ht_insert [27]
-----------------------------------------------
                0.01    0.00    4596/4596        rq_run [3]
[28]     0.6    0.01    0.00    4596         update_game_world [28]
                0.00    0.00   13788/13788       default_tick [41]
                0.00    0.00   22980/22980       qu_next [54]
                0.00    0.00    4596/4596        qu_peek [77]
                0.00    0.00    4596/4596        player_tick [76]
                0.00    0.00    4596/4601        tk_sleep [71]
-----------------------------------------------
                0.00    0.01    7042/7042        draw_main_menu [6]
[29]     0.6    0.00    0.01    7042         draw_uiwin [29]
                0.01    0.00    7042/7042        draw_keyboard_state [31]
                0.00    0.00    7042/24357982     game_world_getxy [8]
                0.00    0.00   14084/14084       sign_of_int [59]
                0.00    0.00    7042/7042        draw_rt_clock [70]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[30]     0.5    0.00    0.01       1         exit_state [30]
                0.00    0.01       1/1           game_free [32]
                0.00    0.00       1/1           UI_exit [43]
                0.00    0.00       1/1           scheduler_free [126]
-----------------------------------------------
                0.01    0.00    7042/7042        draw_uiwin [29]
[31]     0.5    0.01    0.00    7042         draw_keyboard_state [31]
                0.00    0.00   84504/84504       keyid_to_string [46]
-----------------------------------------------
                0.00    0.01       1/1           exit_state [30]
[32]     0.5    0.00    0.01       1         game_free [32]
                0.00    0.01       1/1           world_free [36]
-----------------------------------------------
                0.01    0.00       1/1           init_colors [34]
[33]     0.5    0.01    0.00       1         game_get_context [33]
-----------------------------------------------
                0.00    0.01       1/1           UI_init [19]
[34]     0.5    0.00    0.01       1         init_colors [34]
                0.01    0.00       1/1           game_get_context [33]
-----------------------------------------------
                0.01    0.00       1/1           world_free [36]
[35]     0.5    0.01    0.00       1         noise_free [35]
-----------------------------------------------
                0.00    0.01       1/1           game_free [32]
[36]     0.5    0.00    0.01       1         world_free [36]
                0.01    0.00       1/1           noise_free [35]
                0.00    0.00       1/1           chunk_free_all [117]
-----------------------------------------------
                0.01    0.00    7052/7052        timer_synchronize [38]
[37]     0.3    0.01    0.00    7052         timer_sleep [37]
-----------------------------------------------
                0.00    0.01    7052/7052        schedule_run [2]
[38]     0.3    0.00    0.01    7052         timer_synchronize [38]
                0.01    0.00    7052/7052        timer_sleep [37]
                0.00    0.00   14104/14107       timer_now [57]
                0.00    0.00   14104/14104       timer_diff [58]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.3    0.01    0.00                 timer_print [39]
-----------------------------------------------
                0.00    0.00   13788/13788       default_tick [41]
[40]     0.0    0.00    0.00   13788         default_find_path [40]
                0.00    0.00   13788/13788       set_entity_facing [42]
-----------------------------------------------
                0.00    0.00   13788/13788       update_game_world [28]
[41]     0.0    0.00    0.00   13788         default_tick [41]
                0.00    0.00   13788/13788       default_find_path [40]
                0.00    0.00   13788/36779       qu_enqueue [52]
                0.00    0.00   13788/18384       tick_entity_behaviour [55]
-----------------------------------------------
                0.00    0.00   13788/13788       default_find_path [40]
[42]     0.0    0.00    0.00   13788         set_entity_facing [42]
                0.00    0.00   13788/24357982     game_world_getxy [8]
-----------------------------------------------
                0.00    0.00       1/1           exit_state [30]
[43]     0.0    0.00    0.00       1         UI_exit [43]
                0.00    0.00       1/1           window_mgr_free [44]
-----------------------------------------------
                0.00    0.00       1/1           UI_exit [43]
[44]     0.0    0.00    0.00       1         window_mgr_free [44]
                0.00    0.00       3/97349027     qu_get [11]
                0.00    0.00       3/3           free_window [103]
-----------------------------------------------
                0.00    0.00    7050/105438      jobUI [4]
                0.00    0.00   13788/105438      tick_entity_behaviour [55]
                0.00    0.00   84600/105438      keyboard_poll [67]
[45]     0.0    0.00    0.00  105438         timer_diff_milisec [45]
-----------------------------------------------
                0.00    0.00   84504/84504       draw_keyboard_state [31]
[46]     0.0    0.00    0.00   84504         keyid_to_string [46]
-----------------------------------------------
                0.00    0.00    4596/82739       player_tick [76]
                0.00    0.00   36779/82739       qu_enqueue [52]
                0.00    0.00   41364/82739       qu_dequeue [50]
[47]     0.0    0.00    0.00   82739         qu_empty [47]
-----------------------------------------------
                0.00    0.00       8/49302       _draw_square [183]
                0.00    0.00   49294/49302       draw_clock_needle [49]
[48]     0.0    0.00    0.00   49302         draw_line [48]
-----------------------------------------------
                0.00    0.00   49294/49294       draw_rt_clock [70]
[49]     0.0    0.00    0.00   49294         draw_clock_needle [49]
                0.00    0.00   49294/49302       draw_line [48]
-----------------------------------------------
                0.00    0.00   18384/41364       tick_entity_behaviour [55]
                0.00    0.00   22980/41364       qu_next [54]
[50]     0.0    0.00    0.00   41364         qu_dequeue [50]
                0.00    0.00   41364/82739       qu_empty [47]
-----------------------------------------------
                0.00    0.00   14099/37079       jobInput [66]
                0.00    0.00   22980/37079       player_tick [76]
[51]     0.0    0.00    0.00   37079         kb_down [51]
-----------------------------------------------
                0.00    0.00       3/36779       window_mgr_add [107]
                0.00    0.00       4/36779       entity_spawn [97]
                0.00    0.00       4/36779       window_insert_draw_func [102]
                0.00    0.00   13788/36779       default_tick [41]
                0.00    0.00   22980/36779       qu_next [54]
[52]     0.0    0.00    0.00   36779         qu_enqueue [52]
                0.00    0.00   36779/36779       qu_full [53]
                0.00    0.00   36779/82739       qu_empty [47]
-----------------------------------------------
                0.00    0.00   36779/36779       qu_enqueue [52]
[53]     0.0    0.00    0.00   36779         qu_full [53]
-----------------------------------------------
                0.00    0.00   22980/22980       update_game_world [28]
[54]     0.0    0.00    0.00   22980         qu_next [54]
                0.00    0.00   22980/41364       qu_dequeue [50]
                0.00    0.00   22980/36779       qu_enqueue [52]
-----------------------------------------------
                0.00    0.00    4596/18384       player_tick [76]
                0.00    0.00   13788/18384       default_tick [41]
[55]     0.0    0.00    0.00   18384         tick_entity_behaviour [55]
                0.00    0.00   18384/41364       qu_dequeue [50]
                0.00    0.00   13788/105438      timer_diff_milisec [45]
-----------------------------------------------
                0.00    0.00    3200/16040       perlin_noise_2D_var [81]
                0.00    0.00   12840/16040       perlin_noise_2D [78]
[56]     0.0    0.00    0.00   16040         vec2_dot [56]
-----------------------------------------------
                0.00    0.00       3/14107       timer_init [130]
                0.00    0.00   14104/14107       timer_synchronize [38]
[57]     0.0    0.00    0.00   14107         timer_now [57]
-----------------------------------------------
                0.00    0.00   14104/14104       timer_synchronize [38]
[58]     0.0    0.00    0.00   14104         timer_diff [58]
-----------------------------------------------
                0.00    0.00   14084/14084       draw_uiwin [29]
[59]     0.0    0.00    0.00   14084         sign_of_int [59]
-----------------------------------------------
                0.00    0.00   14084/14084       UI_loop [5]
[60]     0.0    0.00    0.00   14084         st_peek [60]
-----------------------------------------------
                0.00    0.00    2400/12030       perlin_noise_2D_var [81]
                0.00    0.00    9630/12030       perlin_noise_2D [78]
[61]     0.0    0.00    0.00   12030         lerp [61]
-----------------------------------------------
                0.00    0.00    1600/8020        perlin_noise_2D_var [81]
                0.00    0.00    6420/8020        perlin_noise_2D [78]
[62]     0.0    0.00    0.00    8020         fade [62]
-----------------------------------------------
                0.00    0.00    7051/7051        rq_run [3]
[63]     0.0    0.00    0.00    7051         jobMain [63]
                0.00    0.00    7051/7051        wake_tasks [64]
-----------------------------------------------
                0.00    0.00    7051/7051        jobMain [63]
[64]     0.0    0.00    0.00    7051         wake_tasks [64]
                0.00    0.00    7050/7050        timer_ready [68]
                0.00    0.00    4596/4596        ll_rm [75]
-----------------------------------------------
                0.00    0.00    7050/7050        rq_run [3]
[65]     0.0    0.00    0.00    7050         jobIO [65]
-----------------------------------------------
                0.00    0.00    7050/7050        rq_run [3]
[66]     0.0    0.00    0.00    7050         jobInput [66]
                0.00    0.00   14099/37079       kb_down [51]
                0.00    0.00    7050/7050        keyboard_poll [67]
                0.00    0.00       1/5           tk_kill [95]
-----------------------------------------------
                0.00    0.00    7050/7050        jobInput [66]
[67]     0.0    0.00    0.00    7050         keyboard_poll [67]
                0.00    0.00   84600/105438      timer_diff_milisec [45]
-----------------------------------------------
                0.00    0.00    7050/7050        wake_tasks [64]
[68]     0.0    0.00    0.00    7050         timer_ready [68]
-----------------------------------------------
                0.00    0.00    7042/7042        jobUI [4]
[69]     0.0    0.00    0.00    7042         UI_update_time [69]
-----------------------------------------------
                0.00    0.00    7042/7042        draw_uiwin [29]
[70]     0.0    0.00    0.00    7042         draw_rt_clock [70]
                0.00    0.00   49294/49294       draw_clock_needle [49]
-----------------------------------------------
                0.00    0.00       5/4601        create_task [91]
                0.00    0.00    4596/4601        update_game_world [28]
[71]     0.0    0.00    0.00    4601         tk_sleep [71]
                0.00    0.00    4596/4599        ll_insert [73]
-----------------------------------------------
                0.00    0.00    4599/4599        ll_insert [73]
[72]     0.0    0.00    0.00    4599         ll_full [72]
-----------------------------------------------
                0.00    0.00       1/4599        create_task [91]
                0.00    0.00       2/4599        scheduler_new_rq_ [114]
                0.00    0.00    4596/4599        tk_sleep [71]
[73]     0.0    0.00    0.00    4599         ll_insert [73]
                0.00    0.00    4599/4599        ll_full [72]
-----------------------------------------------
                0.00    0.00       1/4597        rqll_kill_all_tasks [125]
                0.00    0.00    4596/4597        ll_rm [75]
[74]     0.0    0.00    0.00    4597         ll_empty [74]
-----------------------------------------------
                0.00    0.00    4596/4596        wake_tasks [64]
[75]     0.0    0.00    0.00    4596         ll_rm [75]
                0.00    0.00    4596/4597        ll_empty [74]
-----------------------------------------------
                0.00    0.00    4596/4596        update_game_world [28]
[76]     0.0    0.00    0.00    4596         player_tick [76]
                0.00    0.00   22980/37079       kb_down [51]
                0.00    0.00    4596/82739       qu_empty [47]
                0.00    0.00    4596/18384       tick_entity_behaviour [55]
-----------------------------------------------
                0.00    0.00    4596/4596        update_game_world [28]
[77]     0.0    0.00    0.00    4596         qu_peek [77]
-----------------------------------------------
                0.00    0.00      10/3210        chunk_determine_type [85]
                0.00    0.00    3200/3210        chunk_populate [86]
[78]     0.0    0.00    0.00    3210         perlin_noise_2D [78]
                0.00    0.00   12840/16040       vec2_dot [56]
                0.00    0.00    9630/12030       lerp [61]
                0.00    0.00    6420/8020        fade [62]
-----------------------------------------------
                0.00    0.00    3200/3200        chunk_populate [86]
[79]     0.0    0.00    0.00    3200         chunk_populate_plains [79]
-----------------------------------------------
                0.00    0.00     800/800         chunk_populate [86]
[80]     0.0    0.00    0.00     800         chunk_populate_mine [80]
-----------------------------------------------
                0.00    0.00     800/800         chunk_populate [86]
[81]     0.0    0.00    0.00     800         perlin_noise_2D_var [81]
                0.00    0.00    3200/16040       vec2_dot [56]
                0.00    0.00    2400/12030       lerp [61]
                0.00    0.00    1600/8020        fade [62]
-----------------------------------------------
                0.00    0.00      54/54          chunk_nearest [87]
[82]     0.0    0.00    0.00      54         man_dist [82]
-----------------------------------------------
                0.00    0.00       4/17          create_task [91]
                0.00    0.00      13/17          keyboard_init [123]
[83]     0.0    0.00    0.00      17         timer_never [83]
-----------------------------------------------
                0.00    0.00      10/10          chunk_get_free [22]
[84]     0.0    0.00    0.00      10         chunk_arena_next [84]
-----------------------------------------------
                0.00    0.00      10/10          _chunk_create [17]
[85]     0.0    0.00    0.00      10         chunk_determine_type [85]
                0.00    0.00      10/3210        perlin_noise_2D [78]
-----------------------------------------------
                0.00    0.00      10/10          _chunk_create [17]
[86]     0.0    0.00    0.00      10         chunk_populate [86]
                0.00    0.00    3200/3210        perlin_noise_2D [78]
                0.00    0.00    3200/3200        chunk_populate_plains [79]
                0.00    0.00     800/800         perlin_noise_2D_var [81]
                0.00    0.00     800/800         chunk_populate_mine [80]
-----------------------------------------------
                0.00    0.00       9/9           world_getxy [9]
[87]     0.0    0.00    0.00       9         chunk_nearest [87]
                0.00    0.00      54/54          man_dist [82]
-----------------------------------------------
                0.00    0.00       1/9           window_mgr_init [131]
                0.00    0.00       1/9           world_init [25]
                0.00    0.00       3/9           init_window [104]
                0.00    0.00       4/9           create_default_entity_controller [96]
[88]     0.0    0.00    0.00       9         qu_init [88]
-----------------------------------------------
                0.00    0.00       8/8           init_entity_types [121]
[89]     0.0    0.00    0.00       8         create_entity_type [89]
-----------------------------------------------
                0.00    0.00       8/8           init_skins [122]
[90]     0.0    0.00    0.00       8         create_skin [90]
-----------------------------------------------
